날짜,뉴스제목
2022.1.1,"I'm an elementary school student. I'm a shareholder of Samsung Electronics, Amazon, and Tesla"
2022.1.1,"""Samsung Electronics Article 100 and SK Hynix Article 50""...K-SEMICONDUCTOR WRITE A NEW HISTORY"
2022.1.1,"""New performance record"" Should Samsung Electronics buy or wait... mixed outlook on the stock market"
2022.1.2,"""I'm the king of semiconductors""...Samsung Electronics' TSMC Intel Foundry Battle"
2022.1.2,Samsung Electronics has regained its semiconductor throne...1st place. Mercury strategy 3
2022.1.2,Tensions are rising over the possibility of Samsung Electronics' first-ever strike
2022.1.2,"Following LG Chem, Samsung Electronics, Kakao Bank, and Naver, which ranked first in short selling this month,"
2022.1.2,LG Chem is the No. 1 short-selling item in the new year.Second place is Samsung Electronics
2022.1.2,"LG Chem, the No. 1 short seller this month...Following Samsung Electronics, Kakao Bank, and Naver,"
2022.1.2,Samsung Electronics' wage negotiations are bursting...The possibility of the first strike
2022.1.2,"Samsung Electronics is nervous about its first ""union strike"" since its foundation.the watershed in early February"
2022.1.2,The tension between labor and management of Samsung Electronics...The possibility of the first strike
2022.1.2,"LG Chem, the No. 1 short seller this month...Following Samsung Electronics, Kakao Bank, and Naver,"
2022.1.2,Will Samsung Electronics' first strike become a reality?heightened labor-management tensions
2022.1.2,"LG Chem, the No. 1 short seller this month...Following Samsung Electronics, Kakao Bank, and Naver,"
2022.1.2,"LG Chem, the No. 1 short seller this month...Following Samsung Electronics, Kakao Bank, and Naver,"
2022.1.2,The tension between labor and management of Samsung Electronics...The possibility of the first strike
2022.1.2,"TSMC will sweep the world...""What is Samsung Electronics doing?"" [Park Shinyoung's Electroman]"
2022.1.2,"Samsung Electronics, which had an all-time performance feast, ""The first quarter is low.""The stock price outlook is"
2022.1.2,Samsung Electronics provides coding training for new employees in all occupations... We started fostering convergence talent
2022.1.2,Samsung Electronics introduces premium mobile AP 'Exynos 2200'
2022.1.2,"[Exclusive] Samsung Electronics' semiconductor division, ""Learn coding even for new students in liberal arts."""
2022.1.2,Minister Lim Hye-sook visits Samsung Electronics' semiconductor field
